#   line (B)  time (µs)
        1024       807.7
        2048       607.2
        4096       617.0
        8192       547.9
       16384       550.1
       32768       509.4
       65536      2727.1
      131072      2650.0
      262144      2657.4
      524288      3550.9
     1048576      3709.2
     2097152      3620.1
     4194304      7503.8
     8388608      8078.4
    16777216     10220.3
    33554432      8756.6
    67108864      8772.9
